gene_id,gene_name
ENSG00000123080,CDKN2C
ENSG00000203356,LINC01562
ENSG00000261664,TTC39A-AS1
ENSG00000169213,RAB3B
ENSG00000223390,RP11-91A18.4
ENSG00000228369,TXNDC12-AS1
ENSG00000116157,GPX7
ENSG00000182183,FAM159A
ENSG00000226754,RP5-1024G6.5
ENSG00000230138,RP11-117D22.2
ENSG00000116209,TMEM59
ENSG00000225632,RP5-997D24.3
ENSG00000143001,TMEM61
ENSG00000162399,BSND
ENSG00000162407,PLPP3
ENSG00000177606,JUN
ENSG00000232453,RP4-794H19.1
ENSG00000237352,LINC01358
ENSG00000132849,INADL
ENSG00000132855,ANGPTL3
ENSG00000228734,RP11-335E6.3
ENSG00000079739,PGM1
ENSG00000118473,SGIP1
ENSG00000203963,C1orf141
ENSG00000116717,GADD45A
ENSG00000237919,RP11-181B18.1
ENSG00000229051,RP5-952N6.1
ENSG00000235782,RP3-333A15.1
ENSG00000259030,FPGT-TNNI3K
ENSG00000137968,SLC44A5
ENSG00000178193,RP4-682C21.5
ENSG00000057468,MSH4
ENSG00000233099,RP11-375A5.1
ENSG00000235927,NEXN-AS1
ENSG00000137960,GIPC2
ENSG00000137959,IFI44L
ENSG00000137941,TTLL7
ENSG00000137976,DNASE2B
ENSG00000171502,COL24A1
ENSG00000016490,CLCA1
ENSG00000267272,LINC01140
ENSG00000143013,LMO4
ENSG00000117226,GBP3
ENSG00000117228,GBP1
ENSG00000162645,GBP2
ENSG00000231999,FLJ27354
ENSG00000189195,BTBD8
ENSG00000069712,KIAA1107
ENSG00000198691,ABCA4
ENSG00000117525,F3
ENSG00000235501,RP4-639F20.1
ENSG00000156869,FRRS1
ENSG00000122477,LRRC39
ENSG00000181656,GPR88
ENSG00000170989,S1PR1
ENSG00000260879,RP11-483I13.5
ENSG00000238122,RP11-483I13.2
ENSG00000143107,FNDC7
ENSG00000203897,SPATA42
ENSG00000273382,RP5-1065J22.8
ENSG00000270066,SCARNA2
ENSG00000179902,C1orf194
ENSG00000221986,MYBPHL
ENSG00000156097,GPR61
ENSG00000213366,GSTM2
ENSG00000134202,GSTM3
ENSG00000198758,EPS8L3
ENSG00000261055,RP11-195M16.3
ENSG00000143125,PROK1
ENSG00000143119,CD53
ENSG00000232811,RP11-96K19.2
ENSG00000064886,CHI3L2
ENSG00000143110,C1orf162
ENSG00000121933,TMIGD3
ENSG00000282608,ADORA3
ENSG00000197852,FAM212B
ENSG00000116489,CAPZA1
ENSG00000155366,RHOC
ENSG00000215866,LINC01356
ENSG00000134242,PTPN22
ENSG00000235527,HIPK1-AS1
ENSG00000116774,OLFML3
ENSG00000233154,RP4-655J12.4
ENSG00000224950,RP5-1086K13.1
ENSG00000116824,CD2
ENSG00000134256,CD101
ENSG00000236866,AL157902.3
ENSG00000183508,FAM46C
ENSG00000155761,SPAG17
ENSG00000092621,PHGDH
ENSG00000198019,FCGR1B
ENSG00000233029,RP11-439A17.9
ENSG00000230806,SRGAP2-AS1
ENSG00000263590,RP11-403I13.7
ENSG00000234571,RP5-998N21.4
ENSG00000277199,CH17-125A10.2
ENSG00000236140,RP11-89F3.2
ENSG00000174827,PDZK1
ENSG00000117281,CD160
ENSG00000198483,ANKRD35
ENSG00000121851,POLR3GL
ENSG00000265972,TXNIP
ENSG00000168509,HFE2
ENSG00000276509,CH17-353B19.1
ENSG00000131781,FMO5
ENSG00000227733,RP4-565E6.1
ENSG00000234283,RP11-495P10.6
ENSG00000231551,RP11-495P10.1
ENSG00000280649,AC245100.1
ENSG00000236334,PPIAL4G
ENSG00000178104,PDE4DIP
ENSG00000274265,CH17-189H20.1
ENSG00000150337,FCGR1A
ENSG00000233030,RP11-196G18.3
ENSG00000184260,HIST2H2AC
ENSG00000014914,MTMR11
ENSG00000023902,PLEKHO1
ENSG00000143401,ANP32E
ENSG00000276110,RP4-790G17.7
ENSG00000143369,ECM1
ENSG00000143382,ADAMTSL4
ENSG00000163131,CTSS
ENSG00000143387,CTSK
ENSG00000143409,FAM63A
ENSG00000163141,BNIPL
ENSG00000143443,C1orf56
ENSG00000197622,CDC42SE1
ENSG00000213190,MLLT11
ENSG00000143458,GABPB2
ENSG00000163155,LYSMD1
ENSG00000224645,RP11-126K1.8
ENSG00000250734,RP11-404E16.1
ENSG00000159409,CELF3
ENSG00000178796,RIIAD1
ENSG00000225556,C2CD4D
ENSG00000197747,S100A10
ENSG00000163191,S100A11
ENSG00000163216,SPRR2D
ENSG00000244094,SPRR2F
ENSG00000203783,PRR9
ENSG00000203782,LOR
ENSG00000163218,PGLYRP4
ENSG00000163220,S100A9
ENSG00000143546,S100A8
ENSG00000184330,S100A7A
ENSG00000143556,S100A7
ENSG00000197956,S100A6
ENSG00000196420,S100A5
ENSG00000196154,S100A4
ENSG00000188015,S100A3
ENSG00000189171,S100A13
ENSG00000160678,S100A1
ENSG00000279767,AL513523.2
ENSG00000282386,RP11-422P24.12
ENSG00000160712,IL6R
ENSG00000169291,SHE
ENSG00000143603,KCNN3
ENSG00000163346,PBXIP1
ENSG00000173207,CKS1B
ENSG00000163357,DCST1
ENSG00000169231,THBS3
ENSG00000236263,RP11-263K19.6
ENSG00000132718,SYT11
ENSG00000143622,RIT1
ENSG00000116584,ARHGEF2
ENSG00000132698,RAB25
ENSG00000160789,LMNA
ENSG00000183856,IQGAP3
ENSG00000143320,CRABP2
ENSG00000027869,SH2D2A
ENSG00000198400,NTRK1
ENSG00000027644,INSRR
ENSG00000160838,LRRC71
ENSG00000229961,RP11-71G12.1
ENSG00000132704,FCRL2
ENSG00000176320,RP11-404O13.5
ENSG00000163563,MNDA
ENSG00000163565,IFI16
ENSG00000213088,ACKR1
ENSG00000188004,C1orf204
ENSG00000243284,VSIG8
ENSG00000132681,ATP1A4
ENSG00000143318,CASQ1
ENSG00000258465,RP11-574F21.3
ENSG00000162739,SLAMF6
ENSG00000066294,CD84
ENSG00000117090,SLAMF1
ENSG00000228863,RP11-404F10.2
ENSG00000117091,CD48
ENSG00000122224,LY9
ENSG00000122223,CD244
ENSG00000179914,ITLN1
ENSG00000232188,RP11-312J18.6
ENSG00000158764,ITLN2
ENSG00000186517,ARHGAP30
ENSG00000143217,PVRL4
ENSG00000228917,RP11-544M22.8
ENSG00000162755,KLHDC9
ENSG00000158793,NIT1
ENSG00000158859,ADAMTS4
ENSG00000158869,FCER1G
ENSG00000188931,CFAP126
ENSG00000143226,FCGR2A
ENSG00000173110,HSPA6
ENSG00000203747,FCGR3A
ENSG00000072694,FCGR2B
ENSG00000132185,FCRLA
ENSG00000198929,NOS1AP
ENSG00000227094,RP11-565P22.2
ENSG00000185860,CCDC190
ENSG00000185630,PBX1
ENSG00000233693,RP11-506O24.1
ENSG00000234142,RP11-276E17.2
ENSG00000143194,MAEL
ENSG00000143162,CREG1
ENSG00000198771,RCSD1
ENSG00000197965,MPZL1
ENSG00000143158,MPC2
ENSG00000143184,XCL1
ENSG00000235736,RP1-10C16.1
ENSG00000225826,LINC00626
ENSG00000143153,ATP1B1
ENSG00000010932,FMO1
ENSG00000117586,TNFSF4
ENSG00000224977,RP11-160H22.3
ENSG00000152061,RABGAP1L
ENSG00000203737,GPR52
ENSG00000116161,CACYBP
ENSG00000236021,RP11-195C7.1
ENSG00000116194,ANGPTL1
ENSG00000186283,TOR3A
ENSG00000143322,ABL2
ENSG00000229407,RP11-12M5.3
ENSG00000169905,TOR1AIP2
ENSG00000116260,QSOX1
ENSG00000153029,MR1
ENSG00000162783,IER5
ENSG00000198216,CACNA1E
ENSG00000121446,RGSL1
ENSG00000135828,RNASEL
ENSG00000143333,RGS16
ENSG00000135824,RGS8
ENSG00000116701,NCF2
ENSG00000162704,ARPC5
ENSG00000143344,RGL1
ENSG00000198756,COLGALT2
ENSG00000135842,FAM129A
ENSG00000261024,GS1-279B7.1
ENSG00000116703,PDC
ENSG00000273198,GS1-304P7.3
ENSG00000150681,RGS18
ENSG00000232498,RP5-1011O1.2
ENSG00000090104,RGS1
ENSG00000116741,RGS2
ENSG00000234871,LINC01032
ENSG00000227240,RP11-563D10.1
ENSG00000227421,RP11-476B1.1
ENSG00000162687,KCNT2
ENSG00000000971,CFH
ENSG00000116785,CFHR3
ENSG00000134389,CFHR5
ENSG00000143278,F13B
ENSG00000066279,ASPM
ENSG00000134376,CRB1
ENSG00000081237,PTPRC
ENSG00000203721,LINC00862
ENSG00000118193,KIF14
ENSG00000081248,CACNA1S
ENSG00000232237,ASCL5
ENSG00000118194,TNNT2
ENSG00000159173,TNNI1
ENSG00000174307,PHLDA3
ENSG00000163431,LMOD1
ENSG00000234678,RP11-465N4.4
ENSG00000163435,ELF3
ENSG00000143851,PTPN7
ENSG00000117139,KDM5B
ENSG00000260021,RP11-480I12.10
ENSG00000143847,PPFIA4
ENSG00000122180,MYOG
ENSG00000133063,CHIT1
ENSG00000231507,LINC01353
ENSG00000159388,BTG2
ENSG00000122176,FMOD
ENSG00000058668,ATP2B4
ENSG00000122188,LAX1
ENSG00000257315,ZBED6
ENSG00000261065,RP11-74C13.4
ENSG00000143839,REN
ENSG00000170498,KISS1
ENSG00000174567,GOLT1A
ENSG00000226330,RP11-739N20.2
ENSG00000198625,MDM4
ENSG00000240710,RP11-430C7.4
ENSG00000240219,RP11-430C7.5
ENSG00000163531,NFASC
ENSG00000184144,CNTN2
ENSG00000186007,LEMD1
ENSG00000117266,CDK18
ENSG00000158715,SLC45A3
ENSG00000069275,NUCKS1
ENSG00000276600,RAB7B
ENSG00000196188,CTSE
ENSG00000263961,C1orf186
ENSG00000226780,RP11-38J22.3
ENSG00000261000,RP11-534L20.5
ENSG00000162889,MAPKAPK2
ENSG00000142224,IL19
ENSG00000162891,IL20
ENSG00000162892,IL24
ENSG00000162894,FCMR
ENSG00000196352,CD55
ENSG00000203710,CR1
ENSG00000236911,RP11-78B10.2
ENSG00000117335,CD46
ENSG00000203709,C1orf132
ENSG00000076356,PLXNA2
ENSG00000009790,TRAF3IP3
ENSG00000143473,KCNH1
ENSG00000153363,LINC00467
ENSG00000229258,RP11-552D8.1
ENSG00000226251,RP11-15I11.3
ENSG00000117691,NENF
ENSG00000162772,ATF3
ENSG00000237980,RP11-338C15.3
ENSG00000123685,BATF3
ENSG00000143494,VASH2
ENSG00000117707,PROX1
ENSG00000152104,PTPN14
ENSG00000117724,CENPF
ENSG00000228063,LYPLAL1-AS1
ENSG00000117791,MARC2
ENSG00000186205,MARC1
ENSG00000272823,RP11-295M18.6
ENSG00000238078,LINC01352
ENSG00000136630,HLX
ENSG00000234754,C1orf140
ENSG00000143498,TAF1A
ENSG00000197520,FAM177B
ENSG00000242861,RP11-285F7.2
ENSG00000243709,LEFTY1
ENSG00000143768,LEFTY2
ENSG00000185155,MIXL1
ENSG00000143772,ITPKB
ENSG00000228548,ITPKB-AS1
ENSG00000185888,PRSS38
ENSG00000143816,WNT9A
ENSG00000270104,RP11-245P10.6
ENSG00000237481,RP4-803J11.2
ENSG00000177614,PGBD5
ENSG00000135773,CAPN9
ENSG00000182118,FAM89A
ENSG00000119283,TRIM67
ENSG00000143674,KIAA1804
ENSG00000183780,SLC35F3
ENSG00000168264,IRF2BP2
ENSG00000228044,RP4-781K5.4
ENSG00000230628,RP4-781K5.6
ENSG00000237520,RP11-443B7.2
ENSG00000280587,LINC01348
ENSG00000054267,ARID4B
ENSG00000086619,ERO1B
ENSG00000215808,LINC01139
ENSG00000259776,RP11-544D21.2
ENSG00000117009,KMO
ENSG00000054282,SDCCAG8
ENSG00000117020,AKT3
ENSG00000179456,ZBTB18
ENSG00000185420,SMYD3
ENSG00000235096,RP11-83A16.1
ENSG00000235749,RP11-634B7.4
ENSG00000196071,OR2L13
ENSG00000203663,OR2L2
ENSG00000196944,OR2T4
ENSG00000233296,AC092159.2
ENSG00000272342,RP13-539J13.1
ENSG00000235078,AC142528.1
ENSG00000151360,ALLC
ENSG00000231532,LINC01249
ENSG00000205837,LINC00487
ENSG00000134321,RSAD2
ENSG00000231083,AC011747.6
ENSG00000235092,ID2-AS1
ENSG00000115738,ID2
ENSG00000143797,MBOAT2
ENSG00000151693,ASAP2
ENSG00000134330,IAH1
ENSG00000151694,ADAM17
ENSG00000240687,RP11-521D12.1
ENSG00000134317,GRHL1
ENSG00000171848,RRM2
ENSG00000115758,ODC1
ENSG00000243819,RN7SL832P
ENSG00000224184,MIR3681HG
ENSG00000223850,MYCNUT
ENSG00000197872,FAM49A
ENSG00000236204,LINC01376
ENSG00000219626,FAM228B
ENSG00000157856,DRC1
ENSG00000115155,OTOF
ENSG00000171303,KCNK3
ENSG00000115163,CENPA
ENSG00000084764,MAPRE3
ENSG00000231636,AGBL5-AS1
ENSG00000143994,ABHD1
ENSG00000163792,TCF23
ENSG00000163793,DNAJC5G
ENSG00000157992,KRTCAP3
ENSG00000075426,FOSL2
ENSG00000270210,RP11-373D23.3
ENSG00000163803,PLB1
ENSG00000213639,PPP1CB
ENSG00000163811,WDR43
ENSG00000233862,AC016907.3
ENSG00000119801,YPEL5
ENSG00000213626,LBH
ENSG00000158125,XDH
ENSG00000091106,NLRC4
ENSG00000152689,RASGRP3
ENSG00000237133,AC020594.5
ENSG00000228262,LINC01320
ENSG00000150938,CRIM1
ENSG00000115828,QPCT
ENSG00000163171,CDC42EP3
ENSG00000235848,RMDN2-AS1
ENSG00000138061,CYP1B1
ENSG00000232973,CYP1B1-AS1
ENSG00000214694,ARHGEF33
ENSG00000011566,MAP4K3
ENSG00000231312,AC007246.3
ENSG00000152154,TMEM178A
ENSG00000183023,SLC8A1
ENSG00000234362,AC104654.2
ENSG00000205086,C2orf91
ENSG00000162878,PKDCC
ENSG00000162881,OXER1
ENSG00000162882,HAAO
ENSG00000231826,AC016735.2
ENSG00000230587,AC093609.1
ENSG00000152518,ZFP36L2
ENSG00000152527,PLEKHH2
ENSG00000138079,SLC3A1
ENSG00000236502,SIX3-AS1
ENSG00000225156,AC012354.6
ENSG00000116016,EPAS1
ENSG00000187600,TMEM247
ENSG00000260977,RP11-333I13.1
ENSG00000222005,LINC01118
ENSG00000273269,RP11-761B3.1
ENSG00000143933,CALM2
ENSG00000236824,BCYRN1
ENSG00000230773,AC079807.4
ENSG00000282828,RP11-443F4.1
ENSG00000272156,RP11-477N3.1
ENSG00000234943,AC092839.4
ENSG00000214595,EML6
ENSG00000115310,RTN4
ENSG00000272180,RP11-481J13.1
ENSG00000222030,AC007131.1
ENSG00000270820,RP11-355B11.2
ENSG00000226622,AC092155.4
ENSG00000231609,AC009501.4
ENSG00000169764,UGP2
ENSG00000225889,AC074289.1
ENSG00000119862,LGALSL
ENSG00000260101,RP11-568N6.1
ENSG00000234572,AC007880.1
ENSG00000143995,MEIS1
ENSG00000230749,MEIS1-AS2
ENSG00000232046,AC007392.3
ENSG00000236780,AC078941.1
ENSG00000115956,PLEK
ENSG00000163219,ARHGAP25
ENSG00000163217,BMP10
ENSG00000183607,GKN2
ENSG00000115977,AAK1
ENSG00000231024,AC092431.3
ENSG00000059728,MXD1
ENSG00000116039,ATP6V1B1
ENSG00000124357,NAGK
ENSG00000272735,RP11-467P9.1
ENSG00000187833,C2orf78
ENSG00000235499,AC073046.25
ENSG00000144045,DQX1
ENSG00000159374,M1AP
ENSG00000159399,HK2
ENSG00000270571,RP11-355F16.1
ENSG00000115363,EVA1A
ENSG00000176204,LRRTM4
ENSG00000066032,CTNNA2
ENSG00000034510,TMSB10
ENSG00000042493,CAPG
ENSG00000118640,VAMP8
ENSG00000168899,VAMP5
ENSG00000115525,ST3GAL5
ENSG00000232504,ST3GAL5-AS1
ENSG00000272564,RP11-548P2.2
ENSG00000068615,REEP1
ENSG00000273445,RP11-1399P15.1
ENSG00000172086,KRCC1
ENSG00000211592,IGKC
ENSG00000233757,AC092835.2
ENSG00000274286,ADRA2B
ENSG00000158158,CNNM4
ENSG00000273265,RP11-353K11.1
ENSG00000168754,FAM178B
ENSG00000168658,VWA3B
ENSG00000196872,KIAA1211L
ENSG00000185674,LYG2
ENSG00000230393,AC092667.2
ENSG00000196460,RFX8
ENSG00000281162,LINC01127
ENSG00000115590,IL1R2
ENSG00000224850,AC108051.3
ENSG00000224509,AC010884.1
ENSG00000233339,AC018878.3
ENSG00000232001,AC108868.6
ENSG00000144057,ST6GAL2
ENSG00000198203,SULT1C2
ENSG00000198075,SULT1C4
ENSG00000169756,LIMS1
ENSG00000282033,RP11-506F3.1
ENSG00000015568,RGPD5
ENSG00000256977,LIMS3
ENSG00000144061,NPHP1
ENSG00000261760,RP11-1223D19.1
ENSG00000153094,BCL2L11
ENSG00000225744,AC017002.4
ENSG00000188177,ZC3H6
ENSG00000169629,RGPD8
ENSG00000228251,AC012442.6
ENSG00000144136,SLC20A1
ENSG00000125538,IL1B
ENSG00000136689,IL1RN
ENSG00000234997,AC016745.3
ENSG00000272563,RP11-480C16.1
ENSG00000227359,AC017074.2
ENSG00000244063,AC024704.2
ENSG00000228857,AC104653.1
ENSG00000259094,RP11-77A13.1
ENSG00000229867,STEAP3-AS1
ENSG00000155368,DBI
ENSG00000080293,SCTR
ENSG00000074047,GLI2
ENSG00000265451,RP11-204L24.2
ENSG00000224655,AC018737.3
ENSG00000136732,GYPC
ENSG00000186684,CYP27C1
ENSG00000115718,PROC
ENSG00000272789,RP11-286H15.1
ENSG00000152076,CCDC74B
ENSG00000178171,AMER3
ENSG00000183840,GPR39
ENSG00000226806,AC011893.3
ENSG00000121966,CXCR4
ENSG00000144229,THSD7B
ENSG00000150540,HNMT
ENSG00000115919,KYNU
ENSG00000169554,ZEB2
ENSG00000226674,TEX41
ENSG00000168280,KIF5C
ENSG00000231969,AC144449.1
ENSG00000123610,TNFAIP6
ENSG00000183091,NEB
ENSG00000162989,KCNJ3
ENSG00000226383,AC093375.1
ENSG00000153234,NR4A2
ENSG00000136541,ERMN
ENSG00000115165,CYTIP
ENSG00000271320,RP11-1152H14.1
ENSG00000153237,CCDC148
ENSG00000123636,BAZ2B
ENSG00000224152,AC009506.1
ENSG00000115271,GCA
ENSG00000184611,KCNH7
ENSG00000115339,GALNT3
ENSG00000169432,SCN9A
ENSG00000235335,AC016723.4
ENSG00000152253,SPC25
ENSG00000073734,ABCB11
ENSG00000073737,DHRS9
ENSG00000235321,AC007556.3
ENSG00000154479,CCDC173
ENSG00000231898,AC012594.1
ENSG00000213981,AC007277.3
ENSG00000222033,LINC01124
ENSG00000128683,GAD1
ENSG00000071967,CYBRD1
ENSG00000115844,DLX2
ENSG00000232788,AC078883.3
ENSG00000224638,AC106900.6
ENSG00000271151,RP11-394I13.2
ENSG00000231453,LINC01305
ENSG00000115935,WIPF1
ENSG00000128645,HOXD1
ENSG00000116044,NFE2L2
ENSG00000237655,AC073834.3
ENSG00000128655,PDE11A
ENSG00000229941,AC012499.1
ENSG00000271011,RP11-171I2.5
ENSG00000163492,CCDC141
ENSG00000115232,ITGA4
ENSG00000162992,NEUROD1
ENSG00000162998,FRZB
ENSG00000188738,FSIP2
ENSG00000231646,FSIP2-AS1
ENSG00000237877,LINC01473
ENSG00000144369,FAM171B
ENSG00000003436,TFPI
ENSG00000138449,SLC40A1
ENSG00000235852,AC005540.3
ENSG00000138378,STAT4
ENSG00000128641,MYO1B
ENSG00000173559,NABP1
ENSG00000235056,AC010983.1
ENSG00000223466,AC064834.2
ENSG00000272211,RP11-347P5.1
ENSG00000138411,HECW2
ENSG00000229056,AC020571.3
ENSG00000187944,C2orf66
ENSG00000065413,ANKRD44
ENSG00000225979,AC010746.3
ENSG00000144381,HSPD1
ENSG00000270757,HSPE1-MOB4
ENSG00000115896,PLCL1
ENSG00000163535,SGOL2
ENSG00000232719,RP11-13J8.1
ENSG00000003402,CFLAR
ENSG00000226312,CFLAR-AS1
ENSG00000155749,ALS2CR12
ENSG00000155754,ALS2CR11
ENSG00000138395,CDK15
ENSG00000273209,RP11-107N15.1
ENSG00000155760,FZD7
ENSG00000182329,KIAA2012
ENSG00000222035,AC079354.3
ENSG00000272966,RP11-686O6.1
ENSG00000138380,CARF
ENSG00000178562,CD28
ENSG00000204186,ZDBF2
ENSG00000260171,RP11-95H11.1
ENSG00000144410,CPO
ENSG00000118263,KLF7
ENSG00000234902,AC007879.2
ENSG00000224137,AC079767.4
ENSG00000144407,PTH2R
ENSG00000144406,UNC80
ENSG00000229127,AC007038.7
ENSG00000030419,IKZF2
ENSG00000144451,SPAG16
ENSG00000115414,FN1
ENSG00000163449,TMEM169
ENSG00000241520,AC098820.4
ENSG00000115457,IGFBP2
ENSG00000115461,IGFBP5
ENSG00000118245,TNP1
ENSG00000259855,RP11-574O16.1
ENSG00000079308,TNS1
ENSG00000180871,CXCR2
ENSG00000179921,GPBAR1
ENSG00000127831,VIL1
ENSG00000144580,RQCD1
ENSG00000115596,WNT6
ENSG00000135925,WNT10A
ENSG00000171450,CDK5R2
ENSG00000163497,FEV
ENSG00000163499,CRYBA2
ENSG00000135924,DNAJB2
ENSG00000230432,AC114803.3
ENSG00000144591,GMPPA
ENSG00000072182,ASIC4
ENSG00000114923,SLC4A3
ENSG00000163082,SGPP2
ENSG00000152049,KCNE4
ENSG00000144460,NYAP2
ENSG00000232023,AC009410.1
ENSG00000226125,AC098823.3
ENSG00000232520,AC012507.3
ENSG00000115053,NCL
ENSG00000187514,PTMA
ENSG00000196811,CHRNG
ENSG00000115474,KCNJ13
ENSG00000072080,SPP2
ENSG00000232893,IQCA1-AS1
ENSG00000124835,AC105760.3
ENSG00000163359,COL6A3
ENSG00000234949,AC104667.3
ENSG00000132329,RAMP1
ENSG00000168427,KLHL30
ENSG00000280260,AC017028.10
ENSG00000063660,GPC1
ENSG00000178623,GPR35
ENSG00000185176,AQP12B
ENSG00000219159,AC011298.2
ENSG00000172482,AGXT
ENSG00000091181,IL5RA
ENSG00000223727,AC026188.1
ENSG00000231249,ITPR1-AS1
ENSG00000150995,ITPR1
ENSG00000235947,EGOT
ENSG00000235978,AC018816.3
ENSG00000134107,BHLHE40
ENSG00000233912,AC026202.3
ENSG00000268509,RP11-572B2.1
ENSG00000196277,GRM7
ENSG00000071282,LMCD1
ENSG00000196220,SRGAP3
ENSG00000206573,THUMPD3-AS1
ENSG00000269886,RP11-266J6.2
ENSG00000163703,CRELD1
