,source,target,data_corr,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
191891,CEBPB,CSF3R,5.613194,True,True,False,True,True,False,4,CollecTRI:10453008;CollecTRI:20659895;DoRothEA:10453008;TRRUST:10453008,CollecTRI;DoRothEA;ENCODE-proximal;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,9,4,2.0,10453008;20659895
141235,CEBPB,IL1B,0.026110742,True,True,False,True,True,False,33,CollecTRI:10383163;CollecTRI:10464291;CollecTRI:10801783;CollecTRI:10838190;CollecTRI:10841183;CollecTRI:10956548;CollecTRI:11035101;CollecTRI:11278846;CollecTRI:11801594;CollecTRI:12072435;CollecTRI:12355443;CollecTRI:12468538;CollecTRI:12759449;CollecTRI:15383601;CollecTRI:15812237;CollecTRI:16399630;CollecTRI:16439360;CollecTRI:16569740;CollecTRI:16867259;CollecTRI:17283046;CollecTRI:17386941;CollecTRI:19806478;CollecTRI:20702408;CollecTRI:2112087;CollecTRI:21917825;CollecTRI:22074460;CollecTRI:22260630;CollecTRI:9372929;CollecTRI:9376596;DoRothEA:17386941;TRRUST:10383163;TRRUST:10801783;TRRUST:17386941,CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,9,3,29.0,10383163;10464291;10801783;10838190;10841183;10956548;11035101;11278846;11801594;12072435;12355443;12468538;12759449;15383601;15812237;16399630;16439360;16569740;16867259;17283046;17386941;19806478;20702408;2112087;21917825;22074460;22260630;9372929;9376596
1980,CEBPB,RUNX2,2.92165,True,True,False,True,True,False,3,HPRD:11668178;SPIKE:15713650;SPIKE_LC:15713650,HPRD;SPIKE;SPIKE_LC,post_translational,3,2,2.0,11668178;15713650
164519,CEBPB,RUNX2,2.92165,True,False,True,True,False,True,3,CollecTRI:17579210;CollecTRI:21302301;CollecTRI:21612856,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,transcriptional,3,1,3.0,17579210;21302301;21612856
141072,CEBPB,IL6,0.002967359,True,True,True,True,False,True,73,CollecTRI:10435001;CollecTRI:10748205;CollecTRI:10816606;CollecTRI:10903137;CollecTRI:11004486;CollecTRI:11035101;CollecTRI:11114305;CollecTRI:11120852;CollecTRI:11160296;CollecTRI:11250916;CollecTRI:11594800;CollecTRI:11866474;CollecTRI:12177065;CollecTRI:12706815;CollecTRI:12853840;CollecTRI:1327803;CollecTRI:1421375;CollecTRI:1427600;CollecTRI:14530280;CollecTRI:14600152;CollecTRI:15044620;CollecTRI:15389813;CollecTRI:15613028;CollecTRI:15688424;CollecTRI:16784777;CollecTRI:1730090;CollecTRI:17332680;CollecTRI:17955490;CollecTRI:18955501;CollecTRI:19026986;CollecTRI:19632992;CollecTRI:19782405;CollecTRI:20511231;CollecTRI:21069809;CollecTRI:2112087;CollecTRI:21127061;CollecTRI:22074460;CollecTRI:22558159;CollecTRI:22895549;CollecTRI:23361365;CollecTRI:23595969;CollecTRI:23874122;CollecTRI:24012417;CollecTRI:24472318;CollecTRI:25382637;CollecTRI:7543095;CollecTRI:7651415;CollecTRI:7744000;CollecTRI:7744784;CollecTRI:7818522;CollecTRI:7821611;CollecTRI:8234276;CollecTRI:8325885;CollecTRI:8336793;CollecTRI:8346247;CollecTRI:8441418;CollecTRI:8725624;CollecTRI:8752656;CollecTRI:8786324;CollecTRI:8910763;CollecTRI:9182853;CollecTRI:9199508;CollecTRI:9282937;CollecTRI:9312180;CollecTRI:9378980;CollecTRI:9442386;CollecTRI:9516466;CollecTRI:9523851;CollecTRI:9648065;CollecTRI:9661072;TRRUST:10903137;TRRUST:11120852;TRRUST:8725624,CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,13,4,70.0,10435001;10748205;10816606;10903137;11004486;11035101;11114305;11120852;11160296;11250916;11594800;11866474;12177065;12706815;12853840;1327803;1421375;1427600;14530280;14600152;15044620;15389813;15613028;15688424;16784777;1730090;17332680;17955490;18955501;19026986;19632992;19782405;20511231;21069809;2112087;21127061;22074460;22558159;22895549;23361365;23595969;23874122;24012417;24472318;25382637;7543095;7651415;7744000;7744784;7818522;7821611;8234276;8325885;8336793;8346247;8441418;8725624;8752656;8786324;8910763;9182853;9199508;9282937;9312180;9378980;9442386;9516466;9523851;9648065;9661072
143102,CEBPB,CCL2,0.047142036,True,True,False,True,True,False,10,CollecTRI:10748205;CollecTRI:12145301;CollecTRI:15710476;CollecTRI:16784777;CollecTRI:17180354;CollecTRI:17390372;CollecTRI:18649942;CollecTRI:19026986;CollecTRI:20019816;CollecTRI:20730378,CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI,transcriptional,5,1,10.0,10748205;12145301;15710476;16784777;17180354;17390372;18649942;19026986;20019816;20730378
161544,CEBPB,TRIB3,3.8394043,True,True,False,True,True,False,3,CollecTRI:16949670;CollecTRI:19164449;CollecTRI:21203563,CollecTRI;ENCODE-proximal;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,transcriptional,4,2,3.0,16949670;19164449;21203563
172929,CEBPB,GDF15,3.0690312,True,True,False,True,True,False,5,CollecTRI:20110283;CollecTRI:24086573;DoRothEA:24086573;SIGNOR:24086573;TRRUST:24086573,CollecTRI;DoRothEA;ExTRI_CollecTRI;SIGNOR;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,8,4,2.0,20110283;24086573
4568,CEBPA,CSF3R,4.8590384,True,True,False,True,True,False,2,SPIKE:15676205;SPIKE_LC:15676205,SPIKE;SPIKE_LC,post_translational,2,1,1.0,15676205
147891,CEBPA,CSF3R,4.8590384,True,True,False,True,True,False,10,CollecTRI:10233885;CollecTRI:10453008;CollecTRI:11753385;CollecTRI:11830484;CollecTRI:11978795;CollecTRI:17082780;CollecTRI:20864248;CollecTRI:8695841;DoRothEA:10453008;TRRUST:10453008,CollecTRI;DoRothEA;ExTRI_CollecTRI;GOA_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,11,3,8.0,10233885;10453008;11753385;11830484;11978795;17082780;20864248;8695841
