,source,target,data_corr,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
2246,JUN,CTNNB1,2.1414075,True,True,False,True,True,False,6,HINT:16007074;HINT:17146436;InnateDB:16007074;InnateDB:17146436;SPIKE:18347071;SPIKE_LC:18347071,HINT;InnateDB;SPIKE;SPIKE_LC,post_translational,4,3,3.0,16007074;17146436;18347071
192069,JUN,CTNNB1,2.1414075,True,True,False,False,False,False,2,CollecTRI:14706452;DoRothEA:14706452,CollecTRI;DoRothEA;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA,transcriptional,5,2,1.0,14706452
174101,JUN,BEX2,2.1036124,True,True,False,True,True,False,4,CollecTRI:20482821;CollecTRI:21384344;DoRothEA:21384344;TRRUST:21384344,CollecTRI;DoRothEA;ExTRI_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,6,3,2.0,20482821;21384344
152393,JUN,PLAT,0.004255319,True,True,False,True,True,False,12,CollecTRI:12960165;CollecTRI:1331936;CollecTRI:16515541;CollecTRI:18982462;CollecTRI:1903195;CollecTRI:1963081;CollecTRI:3135941;CollecTRI:8647095;CollecTRI:9851700;DoRothEA:1963081;TRRUST:1963081;TRRUST:9851700,CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,10,3,9.0,12960165;1331936;16515541;18982462;1903195;1963081;3135941;8647095;9851700
175788,JUN,GSTP1,2.7650223,True,True,False,True,True,False,5,CollecTRI:2112105;CollecTRI:8206948;CollecTRI:8702826;DoRothEA:8206948;TRRUST:8206948,CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,7,3,3.0,2112105;8206948;8702826
161602,JUN,KRT18,2.7202597,True,True,False,True,True,False,3,CollecTRI:1696235;CollecTRI:18941637;CollecTRI:7526151,CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,5,2,3.0,1696235;18941637;7526151
90967,JUN,FOSB,0.040507365,True,True,False,True,True,False,4,HINT:25609649;HINT:29020630;HINT:33961781;HINT:35271311,HINT;Wang,post_translational,2,2,4.0,25609649;29020630;33961781;35271311
158351,EGR1,ATF3,0.026819922,True,True,False,True,True,False,8,CollecTRI:16079301;CollecTRI:16489044;CollecTRI:17764926;CollecTRI:18719024;CollecTRI:21205742;HTRIdb:16489044;TRRUST:16489044;TRRUST:21205742,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;FANTOM4_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,14,4,5.0,16079301;16489044;17764926;18719024;21205742
159458,EGR1,ALOX5,0.01532567,True,True,True,True,True,False,10,CollecTRI:10436859;CollecTRI:15517885;CollecTRI:16364163;CollecTRI:9062372;CollecTRI:9698605;CollecTRI:9806899;HTRIdb:10436859;TRRUST:10436859;TRRUST:15517885;TRRUST:9062372,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,15,4,6.0,10436859;15517885;16364163;9062372;9698605;9806899
5357,SPI1,CYBB,0.08754068,True,False,False,False,False,False,2,SPIKE:10233904;SPIKE_LC:10233904,SPIKE;SPIKE_LC,post_translational,2,1,1.0,10233904
145641,SPI1,CYBB,0.08754068,True,True,False,True,True,False,11,CollecTRI:10233904;CollecTRI:11241298;CollecTRI:11926990;CollecTRI:15618156;CollecTRI:9593745;HTRIdb:11926990;HTRIdb:9593745;PAZAR:10233904;PAZAR:9593745;TRRUST:10233904;TRRUST:9593745,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;PAZAR;PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,16,5,5.0,10233904;11241298;11926990;15618156;9593745
162756,SPI1,CCL2,0.01164314,True,True,False,True,True,False,4,CollecTRI:17255531;CollecTRI:24429361;DoRothEA:24429361;TRRUST:24429361,CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;GOA_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,8,3,2.0,17255531;24429361
4963,SPI1,CD209,0.0039525693,True,False,False,False,False,False,2,SPIKE:16051608;SPIKE_LC:16051608,SPIKE;SPIKE_LC,post_translational,2,1,1.0,16051608
170512,SPI1,CD209,0.0039525693,True,True,False,True,True,False,3,CollecTRI:16051608;CollecTRI:19386588;PAZAR:16051608,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;PAZAR;TFactS_CollecTRI,transcriptional,5,2,2.0,16051608;19386588
148522,SPI1,FCGRT,2.0304964,True,True,False,True,True,False,5,CollecTRI:11971001;CollecTRI:15132949;CollecTRI:15304324;CollecTRI:16428815;CollecTRI:18629488,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA,transcriptional,5,2,5.0,11971001;15132949;15304324;16428815;18629488
